Time [ns]	Counts
-1995	0
-1985	0
-1975	0
-1965	1
-1955	0
-1945	1
-1935	0
-1925	0
-1915	0
-1905	0
-1895	0
-1885	0
-1875	0
-1865	0
-1855	0
-1845	0
-1835	0
-1825	0
-1815	0
-1805	0
-1795	0
-1785	0
-1775	0
-1765	0
-1755	0
-1745	0
-1735	0
-1725	0
-1715	1
-1705	0
-1695	0
-1685	0
-1675	1
-1665	0
-1655	0
-1645	0
-1635	0
-1625	0
-1615	0
-1605	0
-1595	0
-1585	0
-1575	0
-1565	0
-1555	0
-1545	0
-1535	0
-1525	0
-1515	0
-1505	1
-1495	0
-1485	0
-1475	0
-1465	0
-1455	0
-1445	0
-1435	0
-1425	0
-1415	0
-1405	0
-1395	1
-1385	0
-1375	1
-1365	0
-1355	0
-1345	0
-1335	0
-1325	0
-1315	0
-1305	0
-1295	0
-1285	0
-1275	0
-1265	0
-1255	0
-1245	0
-1235	1
-1225	2
-1215	0
-1205	1
-1195	0
-1185	0
-1175	1
-1165	0
-1155	0
-1145	0
-1135	0
-1125	1
-1115	0
-1105	1
-1095	0
-1085	0
-1075	0
-1065	0
-1055	0
-1045	0
-1035	0
-1025	0
-1015	0
-1005	0
-995	0
-985	0
-975	1
-965	0
-955	0
-945	0
-935	0
-925	0
-915	0
-905	0
-895	0
-885	1
-875	0
-865	0
-855	0
-845	0
-835	1
-825	0
-815	0
-805	0
-795	0
-785	1
-775	0
-765	0
-755	0
-745	1
-735	0
-725	0
-715	0
-705	0
-695	0
-685	0
-675	0
-665	0
-655	0
-645	0
-635	0
-625	0
-615	0
-605	1
-595	0
-585	0
-575	0
-565	0
-555	0
-545	0
-535	0
-525	0
-515	0
-505	0
-495	0
-485	0
-475	0
-465	0
-455	0
-445	0
-435	0
-425	0
-415	0
-405	0
-395	1
-385	0
-375	0
-365	0
-355	0
-345	0
-335	0
-325	0
-315	0
-305	0
-295	0
-285	0
-275	0
-265	0
-255	0
-245	0
-235	1
-225	1
-215	0
-205	1
-195	0
-185	0
-175	1
-165	0
-155	0
-145	0
-135	0
-125	0
-115	0
-105	1
-95	1
-85	0
-75	0
-65	0
-55	0
-45	1
-35	0
-25	1
-15	2449
-5	1395
5	5
15	1
25	1
35	0
45	1
55	0
65	0
75	0
85	0
95	0
105	1
115	0
125	1
135	0
145	1
155	1
165	0
175	0
185	0
195	0
205	0
215	0
225	0
235	0
245	0
255	0
265	1
275	0
285	0
295	1
305	0
315	1
325	0
335	0
345	0
355	0
365	0
375	0
385	1
395	0
405	0
415	0
425	0
435	0
445	1
455	0
465	0
475	0
485	1
495	1
505	0
515	0
525	0
535	0
545	0
555	0
565	0
575	0
585	0
595	1
605	0
615	0
625	0
635	0
645	0
655	0
665	0
675	0
685	0
695	0
705	0
715	0
725	0
735	0
745	0
755	0
765	0
775	0
785	0
795	0
805	1
815	0
825	0
835	0
845	0
855	0
865	0
875	0
885	0
895	0
905	0
915	0
925	0
935	1
945	0
955	0
965	0
975	0
985	1
995	0
1005	0
1015	0
1025	0
1035	0
1045	0
1055	0
1065	0
1075	0
1085	0
1095	0
1105	0
1115	0
1125	0
1135	0
1145	0
1155	0
1165	0
1175	0
1185	0
1195	0
1205	0
1215	0
1225	1
1235	0
1245	0
1255	0
1265	0
1275	0
1285	1
1295	1
1305	0
1315	0
1325	0
1335	0
1345	1
1355	0
1365	0
1375	0
1385	1
1395	0
1405	0
1415	0
1425	0
1435	0
1445	0
1455	0
1465	0
1475	1
1485	0
1495	0
1505	0
1515	0
1525	0
1535	0
1545	0
1555	1
1565	0
1575	0
1585	0
1595	0
1605	0
1615	0
1625	0
1635	0
1645	0
1655	0
1665	0
1675	0
1685	0
1695	0
1705	0
1715	0
1725	2
1735	0
1745	0
1755	1
1765	0
1775	0
1785	0
1795	0
1805	0
1815	0
1825	1
1835	0
1845	0
1855	0
1865	0
1875	0
1885	1
1895	0
1905	0
1915	0
1925	0
1935	0
1945	0
1955	1
1965	0
1975	0
1985	0
1995	1
