Time [ns]	Counts
-1995	0
-1985	1
-1975	0
-1965	0
-1955	0
-1945	0
-1935	1
-1925	0
-1915	0
-1905	0
-1895	0
-1885	1
-1875	1
-1865	0
-1855	0
-1845	1
-1835	0
-1825	0
-1815	0
-1805	0
-1795	0
-1785	0
-1775	0
-1765	0
-1755	0
-1745	0
-1735	0
-1725	0
-1715	0
-1705	0
-1695	0
-1685	0
-1675	0
-1665	0
-1655	0
-1645	0
-1635	0
-1625	0
-1615	0
-1605	0
-1595	2
-1585	0
-1575	0
-1565	0
-1555	0
-1545	0
-1535	0
-1525	0
-1515	0
-1505	0
-1495	0
-1485	1
-1475	0
-1465	0
-1455	0
-1445	0
-1435	0
-1425	0
-1415	0
-1405	0
-1395	0
-1385	0
-1375	0
-1365	0
-1355	0
-1345	0
-1335	0
-1325	0
-1315	0
-1305	0
-1295	1
-1285	0
-1275	0
-1265	0
-1255	0
-1245	0
-1235	0
-1225	0
-1215	0
-1205	0
-1195	0
-1185	0
-1175	0
-1165	0
-1155	0
-1145	0
-1135	0
-1125	0
-1115	0
-1105	0
-1095	0
-1085	0
-1075	0
-1065	1
-1055	0
-1045	0
-1035	0
-1025	0
-1015	0
-1005	0
-995	0
-985	0
-975	0
-965	0
-955	0
-945	0
-935	0
-925	0
-915	0
-905	0
-895	0
-885	0
-875	0
-865	0
-855	1
-845	0
-835	1
-825	0
-815	0
-805	0
-795	0
-785	0
-775	0
-765	1
-755	0
-745	0
-735	0
-725	0
-715	0
-705	0
-695	0
-685	0
-675	1
-665	0
-655	1
-645	1
-635	0
-625	0
-615	0
-605	0
-595	0
-585	0
-575	0
-565	0
-555	0
-545	1
-535	0
-525	2
-515	0
-505	0
-495	0
-485	0
-475	0
-465	0
-455	0
-445	0
-435	0
-425	0
-415	0
-405	0
-395	0
-385	1
-375	0
-365	0
-355	0
-345	0
-335	0
-325	0
-315	0
-305	0
-295	0
-285	0
-275	0
-265	0
-255	0
-245	0
-235	0
-225	0
-215	0
-205	1
-195	0
-185	0
-175	0
-165	1
-155	0
-145	1
-135	0
-125	0
-115	0
-105	0
-95	0
-85	1
-75	0
-65	0
-55	0
-45	0
-35	0
-25	0
-15	420
-5	329
5	0
15	2
25	0
35	0
45	1
55	0
65	1
75	1
85	0
95	0
105	0
115	0
125	0
135	0
145	0
155	0
165	0
175	0
185	0
195	0
205	0
215	0
225	1
235	0
245	0
255	0
265	0
275	0
285	0
295	0
305	0
315	0
325	0
335	0
345	0
355	1
365	0
375	0
385	0
395	0
405	0
415	0
425	0
435	0
445	0
455	0
465	0
475	0
485	0
495	0
505	0
515	1
525	0
535	1
545	0
555	0
565	0
575	1
585	0
595	0
605	0
615	0
625	0
635	0
645	0
655	0
665	0
675	0
685	0
695	0
705	0
715	0
725	1
735	0
745	0
755	0
765	0
775	1
785	0
795	0
805	0
815	0
825	0
835	0
845	1
855	0
865	0
875	0
885	0
895	1
905	0
915	0
925	0
935	0
945	0
955	0
965	0
975	0
985	0
995	0
1005	0
1015	0
1025	0
1035	0
1045	0
1055	0
1065	0
1075	0
1085	0
1095	0
1105	0
1115	0
1125	0
1135	0
1145	0
1155	1
1165	0
1175	0
1185	0
1195	0
1205	0
1215	1
1225	1
1235	0
1245	0
1255	0
1265	0
1275	0
1285	0
1295	0
1305	0
1315	0
1325	0
1335	0
1345	0
1355	0
1365	0
1375	0
1385	0
1395	0
1405	2
1415	0
1425	0
1435	0
1445	0
1455	0
1465	0
1475	1
1485	0
1495	0
1505	0
1515	0
1525	0
1535	0
1545	0
1555	0
1565	0
1575	0
1585	0
1595	0
1605	0
1615	0
1625	0
1635	0
1645	0
1655	0
1665	0
1675	0
1685	0
1695	0
1705	0
1715	0
1725	0
1735	0
1745	0
1755	1
1765	0
1775	0
1785	0
1795	0
1805	0
1815	0
1825	1
1835	0
1845	0
1855	0
1865	0
1875	0
1885	0
1895	0
1905	0
1915	0
1925	0
1935	0
1945	0
1955	0
1965	0
1975	0
1985	0
1995	1
